,log_realized_volatility
1950-02-28,-3.8687548248462456
1950-03-31,-3.8068750703291654
1950-04-30,-3.6184358500199125
1950-05-31,-3.6200262662549405
1950-06-30,-2.563740446615361
1950-07-31,-2.8634923590451735
1950-08-31,-3.404766386897491
1950-09-30,-3.3545548278761563
1950-10-31,-3.2060747715267666
1950-11-30,-2.969973162102523
1950-12-31,-2.874565679565736
1951-01-31,-3.1786098458294134
1951-02-28,-3.6737523953729267
1951-03-31,-3.418666329983353
1951-04-30,-3.6021466724754845
1951-05-31,-3.274282403523882
1951-06-30,-3.4187320638011465
1951-07-31,-3.3059003536174902
1951-08-31,-3.7507159264619827
1951-09-30,-4.140207786444747
1951-10-31,-3.271905709749394
1951-11-30,-3.539125004624036
1951-12-31,-3.915470000972079
1952-01-31,-3.7318178496620122
1952-02-29,-3.619687108427327
1952-03-31,-3.6797184955022346
1952-04-30,-3.623820724185653
1952-05-31,-3.792183281198736
1952-06-30,-4.023416301755437
1952-07-31,-3.989177210073668
1952-08-31,-4.107927828880875
1952-09-30,-3.879360316768393
1952-10-31,-3.453422340695457
1952-11-30,-3.8657750874963757
1952-12-31,-4.106525676963868
1953-01-31,-3.891378282704692
1953-02-28,-3.2577287435548223
1953-03-31,-3.642084222885134
1953-04-30,-3.3384922815527425
1953-05-31,-3.7569323000701247
1953-06-30,-3.428514516838188
1953-07-31,-3.741147805848139
1953-08-31,-3.662061927844463
1953-09-30,-3.416346242000358
1953-10-31,-3.7375081719032144
1953-11-30,-3.8542049731532155
1953-12-31,-3.907804247373877
1954-01-31,-3.821608712664447
1954-02-28,-4.006725114935483
1954-03-31,-3.9807432742486086
1954-04-30,-3.593482100938108
1954-05-31,-3.837212504770363
1954-06-30,-3.4872410661698514
1954-07-31,-3.7038098677264157
1954-08-31,-3.376705342962938
1954-09-30,-3.62829575046482
1954-10-31,-3.7863514611037714
1954-11-30,-3.36518290576817
1954-12-31,-3.1474068560689314
1955-01-31,-2.9901919561243293
1955-02-28,-3.635918446985632
1955-03-31,-2.997298034621814
1955-04-30,-3.6880734277223692
1955-05-31,-3.624286294513349
1955-06-30,-3.100364505389213
1955-07-31,-3.071491311081329
1955-08-31,-3.3844538216407036
1955-09-30,-2.5526726053480178
1955-10-31,-2.9608432084162857
1955-11-30,-3.1212004580826243
1955-12-31,-3.522306255783268
1956-01-31,-3.3665768477439477
1956-02-29,-3.4005895942332485
1956-03-31,-3.4339077724022595
1956-04-30,-3.5532518861749103
1956-05-31,-3.1516082298214805
1956-06-30,-3.394104455193077
1956-07-31,-3.8030922972155974
1956-08-31,-3.197636272440287
1956-09-30,-3.1812827116173246
1956-10-31,-3.2278751247147315
1956-11-30,-3.1764304182670795
1956-12-31,-3.4651264301928473
1957-01-31,-3.496663754931672
1957-02-28,-3.436710294683646
1957-03-31,-3.9510606153842773
1957-04-30,-4.102150254985756
1957-05-31,-3.801842797138016
1957-06-30,-3.884025608479708
1957-07-31,-3.784661701791111
1957-08-31,-3.068301439858651
1957-09-30,-3.234481206658945
1957-10-31,-2.694690463353906
1957-11-30,-2.8584957575547896
1957-12-31,-3.3340685729073853
1958-01-31,-3.6002933628910827
1958-02-28,-3.618282036724272
1958-03-31,-3.7839342557849975
1958-04-30,-3.6085452133321736
1958-05-31,-3.871829291352429
1958-06-30,-3.6731840843545904
1958-07-31,-3.689226821218941
1958-08-31,-3.7505482437278275
1958-09-30,-3.8485081886114054
1958-10-31,-3.512253790340897
1958-11-30,-3.2894836877747493
1958-12-31,-3.6063991792308707
1959-01-31,-3.7252634301730208
1959-02-28,-3.3858874784190145
1959-03-31,-3.8129157972459558
1959-04-30,-3.8045301303955643
1959-05-31,-3.8010232919804636
1959-06-30,-3.5056140343402573
1959-07-31,-3.8269690960801137
1959-08-31,-3.3844826620026214
1959-09-30,-3.1861581487053225
1959-10-31,-3.701626858234241
1959-11-30,-3.8012751565629714
1959-12-31,-4.051718140558733
1960-01-31,-3.491442984515648
1960-02-29,-3.3844630234444293
1960-03-31,-3.489292569393884
1960-04-30,-3.5012225289567818
1960-05-31,-3.907325660677735
1960-06-30,-3.7967637446429405
1960-07-31,-3.4818518314670412
1960-08-31,-3.6718173723119105
1960-09-30,-3.1711360705457823
1960-10-31,-3.347905102760822
1960-11-30,-3.5062636484870615
1960-12-31,-3.867026286340609
1961-01-31,-3.633137866242822
1961-02-28,-3.76414342917058
1961-03-31,-3.753249350150313
1961-04-30,-2.837736565151115
1961-05-31,-3.9071598789008046
1961-06-30,-3.393317931294497
1961-07-31,-3.690617599678314
1961-08-31,-3.9141456871301163
1961-09-30,-3.3642842846305587
1961-10-31,-3.69685158571498
1961-11-30,-3.957218452970506
1961-12-31,-3.9769976996383782
1962-01-31,-3.5576957887097485
1962-02-28,-4.123536513265987
1962-03-31,-4.089849473927842
1962-04-30,-3.4730191608755425
1962-05-31,-2.29964016941279
1962-06-30,-2.553977704869449
1962-07-31,-3.156997345330227
1962-08-31,-3.5653735831193725
1962-09-30,-3.3668458111873494
1962-10-31,-2.8372870640169143
1962-11-30,-3.337086202892041
1962-12-31,-3.694741659493467
1963-01-31,-3.636395084140157
1963-02-28,-3.918903412410939
1963-03-31,-3.967198272519087
1963-04-30,-4.023042667006338
1963-05-31,-4.050793188944369
1963-06-30,-4.1263344394606385
1963-07-31,-3.7718331661352447
1963-08-31,-4.015006036879166
1963-09-30,-4.007386949963954
1963-10-31,-3.716535641766667
1963-11-30,-2.8925792524782294
1963-12-31,-4.103355805070679
1964-01-31,-4.3030988707074345
1964-02-29,-4.7722718186046515
1964-03-31,-4.537507688326682
1964-04-30,-4.137606446081564
1964-05-31,-4.131480861582728
1964-06-30,-3.9140395660676326
1964-07-31,-4.262643487630932
1964-08-31,-3.8776794153909564
1964-09-30,-4.339991306766536
1964-10-31,-4.29252077438533
1964-11-30,-4.226116351162077
1964-12-31,-3.975957226064978
1965-01-31,-4.352993054412283
1965-02-28,-3.9189693695183987
1965-03-31,-4.419392425887981
1965-04-30,-4.36390817984369
1965-05-31,-4.001862116880554
1965-06-30,-3.089441642860967
1965-07-31,-3.778830115733441
1965-08-31,-4.570167257642479
1965-09-30,-4.058913862181223
1965-10-31,-4.290413433445039
1965-11-30,-4.430934949112919
1965-12-31,-4.053593766014013
1966-01-31,-4.396747519336796
1966-02-28,-4.0047048689422775
1966-03-31,-3.48649172620957
1966-04-30,-3.978811170669674
1966-05-31,-3.1207340233236986
1966-06-30,-3.7989430970940097
1966-07-31,-3.4451035957280416
1966-08-31,-2.8734096844599666
1966-09-30,-3.220856494536501
1966-10-31,-2.99077319692205
1966-11-30,-3.5806878395837987
1966-12-31,-3.687890310856612
1967-01-31,-3.6126283954543155
1967-02-28,-3.888595082087847
1967-03-31,-3.802688601294203
1967-04-30,-3.5431979667979636
1967-05-31,-3.5085888036727533
1967-06-30,-3.422268975618064
1967-07-31,-4.03955811955172
1967-08-31,-4.061154239394917
1967-09-30,-3.968579127123454
1967-10-31,-3.7019242412995226
1967-11-30,-3.545120057400798
1967-12-31,-4.108881215741858
1968-01-31,-3.8146708688758775
1968-02-29,-3.5203248102364406
1968-03-31,-3.286941179622932
1968-04-30,-3.1777415276218073
1968-05-31,-3.9144310493828725
1968-06-30,-3.586654299470547
1968-07-31,-3.591859676589926
1968-08-31,-4.030938305717702
1968-09-30,-4.113979522931659
1968-10-31,-4.111298453056573
1968-11-30,-4.124260136639631
1968-12-31,-3.99865262339202
1969-01-31,-3.708082701938705
1969-02-28,-3.70847959842718
1969-03-31,-3.76144629298688
1969-04-30,-3.7528626151165705
1969-05-31,-3.8782659348219677
1969-06-30,-3.5893120910574052
1969-07-31,-3.0287543198879687
1969-08-31,-3.4993940045368808
1969-09-30,-3.502824526088856
1969-10-31,-3.6001385874923675
1969-11-30,-3.789213861627528
1969-12-31,-3.396460415110394
1970-01-31,-3.393961909990432
1970-02-28,-3.4292038315877287
1970-03-31,-3.476134738076616
1970-04-30,-3.2117881442407397
1970-05-31,-2.4096309143042474
1970-06-30,-2.9621082458497314
1970-07-31,-3.084972539294988
1970-08-31,-3.1535465438541097
1970-09-30,-3.4301308683120606
1970-10-31,-3.4328873611671846
1970-11-30,-3.5007556295497295
1970-12-31,-3.769755143420062
1971-01-31,-3.76148040822008
1971-02-28,-3.8465240685868154
1971-03-31,-3.811396765066991
1971-04-30,-4.0290737630237565
1971-05-31,-3.758237330105044
1971-06-30,-3.538078077521237
1971-07-31,-3.6842945426813247
1971-08-31,-3.0118286815331246
1971-09-30,-3.7782361636229376
1971-10-31,-3.657239429737742
1971-11-30,-3.1439913952214535
1971-12-31,-3.3860304620696295
1972-01-31,-3.814563386749317
1972-02-29,-4.084526589194555
1972-03-31,-3.7565822762068244
1972-04-30,-3.924939335550374
1972-05-31,-3.5845731275739845
1972-06-30,-3.9562612932849563
1972-07-31,-3.7144206202600474
1972-08-31,-3.7146042709218263
1972-09-30,-3.8248093208018585
1972-10-31,-3.5306134288775564
1972-11-30,-3.81499432684312
1972-12-31,-3.783223901777989
1973-01-31,-3.78327783968384
1973-02-28,-3.334939378727406
